language_ID,language,latitude,longitude,links,speaker_number_raw,speaker_number_numeric,speaker_number_type,speaker_number_min,speaker_number_max,vitality_status,vitality_certainty,speaker_number_year,speaker_source,source_category,source_type,access_route,source_confidence,source_urls,plotting_data,bar_chart_tooltip_value
fasu1242,Fasu,-6.62687,143.284,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10734', 'label': 'Fasu'}, {'url': 'https://grambank.clld.org/languages/fasu1242', 'label': 'Fasu'}, {'url': 'https://lexibank.clld.org/languages/johanssonsoundsymbolic-Fasu', 'label': 'Fasu'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-fasu', 'label': 'Fasu'}, {'url': 'https://wals.info/languoid/lect/wals_code_fas', 'label': 'Fasu'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-namumi', 'label': 'Fasu (Namumi Dialect)'}, {'url': 'https://en.wikipedia.org/wiki/Fasu_language', 'label': None}, {'url': 'https://phoible.org/languages/fasu1242', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3446687', 'label': None}]",1200,1200.0,exact,1200.0,1200.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10734'],1200.0,1200.0
taua1242,Tauade,-8.3486,147.094,"[{'url': 'https://lexibank.clld.org/languages/transnewguineaorg-tauade', 'label': 'Tauade'}, {'url': 'https://en.wikipedia.org/wiki/Tauade_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q7688634', 'label': None}]","(7,000 cited 2000 census)[1]",7000.0,exact,7000.0,7000.0,,,2000,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Tauade_language'],7000.0,7000.0
pyuu1245,Pyu,-4.45003,141.018,"[{'url': 'https://www.endangeredlanguages.com/elp-language/4950', 'label': 'Pyu'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-pyu', 'label': 'Pyu'}, {'url': 'https://en.wikipedia.org/wiki/Pyu_language_(Papuan)', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q2567925', 'label': None}]",~100,100.0,estimate,56.00000000000001,144.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.56,['https://www.endangeredlanguages.com/elp-language/4950'],100.0,~100
dibi1240,Dibiyaso,-7.82096,142.779,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10735', 'label': 'Dibiyaso'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-dibiyaso', 'label': 'Dibiyaso'}, {'url': 'https://en.wikipedia.org/wiki/Dibiyaso_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q5272268', 'label': None}]",1950,1950.0,exact,1950.0,1950.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10735'],1950.0,1950.0
yetf1238,Yetfa,-4.05884,140.653,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10579', 'label': 'Yetfa-Biksi'}, {'url': 'https://www.wikidata.org/entity/Q8053020', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Biksi-Yetfa_language', 'label': None}]","1,000",1000.0,exact,1000.0,1000.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10579'],1000.0,1000.0
sulk1246,Sulka,-5.03471,151.891,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10810', 'label': 'Sulka'}, {'url': 'https://grambank.clld.org/languages/sulk1246', 'label': 'Sulka'}, {'url': 'https://lexibank.clld.org/languages/johanssonsoundsymbolic-Sulka', 'label': 'Sulka'}, {'url': 'https://wals.info/languoid/lect/wals_code_sul', 'label': 'Sulka'}, {'url': 'https://en.wikipedia.org/wiki/Sulka_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q7636341', 'label': None}]","2,500",2500.0,exact,2500.0,2500.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10810'],2500.0,2500.0
guri1248,Muno,-3.5718,141.597,"[{'url': 'https://www.endangeredlanguages.com/elp-language/4242', 'label': 'Guriaso'}, {'url': 'https://grambank.clld.org/languages/guri1248', 'label': 'Guriaso'}, {'url': 'https://en.wikipedia.org/wiki/Guriaso_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q12631954', 'label': None}]",<421,,range,0.0,421.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.38,['https://www.endangeredlanguages.com/elp-language/4242'],210.5,<421
kibi1239,Kibiri,-7.45276,144.296,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10741', 'label': 'Kibiri-Porome'}, {'url': 'https://www.wikidata.org/entity/Q56745', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Porome_language', 'label': None}]",1180,1180.0,exact,1180.0,1180.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10741'],1180.0,1180.0
kaki1249,Kaki Ae,-7.9946,145.816,"[{'url': 'https://www.endangeredlanguages.com/elp-language/2220', 'label': 'Kaki Ae'}, {'url': 'https://grambank.clld.org/languages/kaki1249', 'label': 'Kaki Ae'}, {'url': 'https://wals.info/languoid/lect/wals_code_kae', 'label': 'Kaki Ae'}, {'url': 'https://en.wikipedia.org/wiki/Kaki_Ae_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q6349417', 'label': None}]",266,266.0,exact,266.0,266.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/2220'],266.0,266.0
yele1255,Yele,-11.3796,154.127,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10812', 'label': 'Yele'}, {'url': 'https://grambank.clld.org/languages/yele1255', 'label': 'Yele'}, {'url': 'https://lexibank.clld.org/languages/johanssonsoundsymbolic-Yele', 'label': 'Yele'}, {'url': 'https://wals.info/languoid/lect/wals_code_yel', 'label': 'Yelî Dnye'}, {'url': 'https://en.wikipedia.org/wiki/Yele_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q36942', 'label': None}]","6,000",6000.0,exact,6000.0,6000.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10812'],6000.0,6000.0
