language,plotting_data
Fasu,1200.0
Tauade,7000.0
Pyu,100.0
Dibiyaso,1950.0
Yetfa,1000.0
Sulka,2500.0
Muno,210.5
Kibiri,1180.0
Kaki Ae,266.0
Yele,6000.0
Anem,843.0
Wiru,15300.0
Tabo,3000.0
Karami,1.0
Bogaya,300.0
Fuyug,14000.0
Kuot,1000.0
Taiap,75.0
Asabano,145.0
Papi,75.0
Yale,600.0
Pele-Ata,2000.0
Duna,25000.0
Kol,4000.0
Odiai,240.0
Purari,10000.0
Yerakai,390.0
Pawaia,4000.0
Moikodi,570.0
Aneme Wake,650.0
Nawaru,190.0
Bariji,460.0
Yareba,1200.0
Lilau,410.0
Monumbo,450.0
Dadibi,13000.0
Folopa,3000.0
Waboda,2800.0
Southern Kiwai,
Bamu,5400.0
Northeast Kiwai,
Kerewo,1090.0
Morigi,700.0
Idi-Taeme,1600.0
Agob-Ende-Kawam,2400.0
Turumsa,5.0
Doso,1.0
Tolai-Nakanai-Trade,
Kwoma-Manambu Pidgin,
Arafundi-Enga Pidgin,
Trading Koriki,
Hiri Motu,1992.0
Trading Eleman,
Hauna Trade Language,
Ioi Trade Jargon,
Imunga Trade Language,
Yimas-Alamblak-Pidgin,
Yimas-Karawari Pidgin,
Yimas-Arafundi-Pidgin,1.0
Yimas-Iatmul Pidgin,
Edolo,1700.0
Beami,5000.0
Aimele,140.0
Kasua,600.0
Onobasulu,1000.0
Kaluli,3100.0
Sonia,400.0
Siwai,7000.0
Terei,27000.0
Uisai,2500.0
Sibe (Nasioi),5000.0
Koromira,2500.0
Daantanai',600.0
Naasioi,20000.0
Ounge,1000.0
Simeku,3000.0
Avaipa,
Yei,2400.0
Nambo,
Nen,250.0
Namat,180.0
Neme,200.0
Nama,1200.0
Dre,
Namo,80.0
Len,
Arammba,970.0
Rema,12.0
Warta Thuntai,350.0
Mblafe-Ránmo,670.0
Kánchá,350.0
Anta-Komnzo-Wára-Wérè-Kémä,350.0
Kómnjo,200.0
Smärky Kanum,80.0
Sota Kanum,100.0
Ngkontar Ngkolmpu,150.0
Wanib Sign Language,1.0
Sinasina Sign Language,1.0
Kailge Sign Language,1.0
Enga Sign Language,1.0
Mehek Sign Language,1.0
Papua New Guinean Sign Language,1.0
Ulwa,600.0
Mwakai,338.0
Pondi,254.0
Ap Ma,6500.0
Ambakich,770.0
Kamula,800.0
Aekyom,20000.0
Pare,2000.0
